Type,StatusReason,City,Zip,state,Latitude,Longitude
INDIVIDUAL,CURRENT,ORANGE,06477,CT,41.284951,-73.024637
INDIVIDUAL,CURRENT,WEST HARTFORD,061073541,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,HARTFORD,061063322,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,SANDY HOOK,06482,CT,41.409,-73.24263
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NORWALK,06851,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,SHELTON,06484,CT,41.304577,-73.139215
INDIVIDUAL,CURRENT,NEW CANAAN,06840,CT,41.141703,-73.490141
INDIVIDUAL,CURRENT,NEW MILFORD,06776,CT,41.580295,-73.403934
INDIVIDUAL,CURRENT,MIDDLETOWN,06457,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,NEW HAVEN,065208064,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WEST HARTFORD,06117,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,MIDDLETOWN,06457,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,TORRINGTON,067904937,CT,41.8342,-73.13147
INDIVIDUAL,CURRENT,HARTFORD,061065527,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NORWALK,06851,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,NORWICH,06360,CT,41.548006,-72.089454
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,EAST HARTFORD,061083286,CT,41.760695,-72.607646
INDIVIDUAL,CURRENT,EAST HARTFORD,061082293,CT,41.760695,-72.607646
INDIVIDUAL,CURRENT,DANBURY,06810,CT,41.398741,-73.478103
LIMITED LIABILITY COMPANY (SINGLE MEMBER),CURRENT,GREENWICH,068312508,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,HARTFORD,06102,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WESTON,06883,CT,41.203236,-73.378781
INDIVIDUAL,CURRENT,NORWICH,063602222,CT,41.548006,-72.089454
INDIVIDUAL,CURRENT,NEW HAVEN,065208062,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NORWALK,06851,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,WEST HARTFORD,06117,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,NORTH GRANBY,06060,CT,42.015989,-72.843177
INDIVIDUAL,CURRENT,NEW CANAAN,06840,CT,41.141703,-73.490141
INDIVIDUAL,CURRENT,SHELTON,064846240,CT,41.304577,-73.139215
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,BETHEL,068011339,CT,41.360293,-73.413942
INDIVIDUAL,CURRENT,NORWALK,06851,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,WEST HAVEN,065162770,CT,41.272121,-72.967497
INDIVIDUAL,CURRENT,HARTFORD,061062528,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,BRIDGEPORT,066061804,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,HARTFORD,06105,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,BRIDGEPORT,06610,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,STAMFORD,069027357,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NIANTIC,063571320,CT,41.316749,-72.199878
INDIVIDUAL,CURRENT,NEW HAVEN,06520,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,DANBURY,06810,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,WEST HARTFORD,06117,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,HARTFORD,061063315,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,EAST HARTFORD,061181920,CT,41.760695,-72.607646
INDIVIDUAL,CURRENT,STAMFORD,06901,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,PRIOR DISCIPLINE,WEST HAVEN,06516,CT,41.272121,-72.967497
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,MIDDLETOWN,064574783,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,TORRINGTON,06790,CT,41.8342,-73.13147
INDIVIDUAL,CURRENT,MANCHESTER,060423556,CT,41.77963,-72.520157
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NORWALK,068511080,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,MIDDLETOWN,06457,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,EAST HARTFORD,061083240,CT,41.760695,-72.607646
INDIVIDUAL,CURRENT,GREENWICH,06830,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,WATERBURY,067061253,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,NORTH HAVEN,06473,CT,41.381465,-72.856371
INDIVIDUAL,CURRENT,NEW HAVEN,065113603,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,STAMFORD,069022505,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,SHELTON,06484,CT,41.304577,-73.139215
INDIVIDUAL,CURRENT,NEW HAVEN,065112348,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,BRISTOL,06010,CT,41.681578,-72.940749
INDIVIDUAL,CURRENT,WEST HARTFORD,061072723,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,DANBURY,068105163,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,MIDDLETOWN,06459,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,NEW HAVEN,06513,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW LONDON,063204700,CT,41.332957,-72.096176
INDIVIDUAL,CURRENT,WETHERSFIELD,06109,CT,41.702484,-72.669301
INDIVIDUAL,CURRENT,TORRINGTON,067903144,CT,41.8342,-73.13147
INDIVIDUAL,CURRENT,BRIDGEPORT,06605,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,DANBURY,06810,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,STAMFORD,069023725,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,GROTON,063405917,CT,41.325054,-72.066862
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NORWICH,06360,CT,41.548006,-72.089454
INDIVIDUAL,CURRENT,NORWICH,06360,CT,41.548006,-72.089454
INDIVIDUAL,CURRENT,GREENWICH,06830,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,WATERBURY,067053733,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,BRISTOL,060106960,CT,41.681578,-72.940749
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NORWALK,06850,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,EAST HARTFORD,061083240,CT,41.760695,-72.607646
INDIVIDUAL,CURRENT,NEW HAVEN,065208063,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,GREENWICH,068303420,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,WEST HARTFORD,061071628,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,WEST HARTFORD,061071107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,DANBURY,06810,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,SANDY HOOK,06482,CT,41.409,-73.24263
INDIVIDUAL,CURRENT,PAWCATUCK,06379,CT,41.37389,-71.856422
INDIVIDUAL,CURRENT,MIDDLETOWN,06457,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,HARTFORD,06114,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,PRIOR DISCIPLINE,HARTFORD,061028000,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,DERBY,064181430,CT,41.326124,-73.082574
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,ORANGE,06477,CT,41.284951,-73.024637
INDIVIDUAL,CURRENT,WEST HAVEN,065162770,CT,41.272121,-72.967497
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW CANAAN,068404805,CT,41.141703,-73.490141
INDIVIDUAL,CURRENT,DANBURY,06810,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,MERIDEN,06451,CT,41.536777,-72.794543
INDIVIDUAL,CURRENT,DANBURY,068106099,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,WEST HAVEN,06516,CT,41.272121,-72.967497
INDIVIDUAL,CURRENT,MIDDLETOWN,06457,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,NEW HAVEN,06520,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,HARTFORD,061023101,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WATERBURY,067083105,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,GREENWICH,068305000,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,BRISTOL,060106951,CT,41.681578,-72.940749
INDIVIDUAL,CURRENT,NEW HAVEN,065113603,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,BRIDGEPORT,066102805,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,NEW LONDON,06320,CT,41.332957,-72.096176
INDIVIDUAL,CURRENT,WEST HAVEN,06516,CT,41.272121,-72.967497
INDIVIDUAL,CURRENT,MIDDLETOWN,064577568,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,SHELTON,064845904,CT,41.304577,-73.139215
INDIVIDUAL,CURRENT,DURHAM,06422,CT,41.468922,-72.684525
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,NEW HAVEN,06520,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WEST HARTFORD,06127,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,MIDDLETOWN,064572404,CT,41.548611,-72.656784
INDIVIDUAL,CURRENT,NEW HAVEN,065103222,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,BRIDGEPORT,066064201,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,SANDY HOOK,06482,CT,41.409,-73.24263
INDIVIDUAL,CURRENT,STAMFORD,06902,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAMFORD,069023507,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NEW HAVEN,06510,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW HAVEN,065191612,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NORWALK,068504524,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,GREENWICH,06831,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,BRIDGEPORT,066102805,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,NORWALK,06854,CT,41.092739,-73.419796
INDIVIDUAL,CURRENT,STAMFORD,069023602,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,NORWICH,06360,CT,41.548006,-72.089454
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WEST HARTFORD,06119,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,LAKEVILLE,06039,CT,41.962149,-73.443297
INDIVIDUAL,CURRENT,NEW HAVEN,065116662,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,STAMFORD,06902,CT,41.079611,-73.54608
INDIVIDUAL,PRIOR DISCIPLINE,WEST HARTFORD,061071127,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,NEW HAVEN,06510,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW CANAAN,068405529,CT,41.141703,-73.490141
INDIVIDUAL,CURRENT,NEW BRITAIN,06053,CT,41.676555,-72.786161
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW BRITAIN,060531177,CT,41.676555,-72.786161
INDIVIDUAL,CURRENT,STAMFORD,069034104,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,HARTFORD,061065360,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WATERBURY,06708,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,NEW HAVEN,065103206,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,RIDGEFIELD,068774069,CT,41.269688,-73.492611
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,RIDGEFIELD,06877,CT,41.269688,-73.492611
INDIVIDUAL,PRIOR DISCIPLINE,DANBURY,068106099,CT,41.398741,-73.478103
INDIVIDUAL,PRIOR DISCIPLINE,MYSTIC,063551925,CT,41.355976,-71.955882
INDIVIDUAL,PRIOR DISCIPLINE,ORANGE,064772227,CT,41.284951,-73.024637
INDIVIDUAL,CURRENT,GREENWICH,06831,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,STAMFORD,06902,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NEW MILFORD,06776,CT,41.580295,-73.403934
INDIVIDUAL,CURRENT,BRIDGEPORT,06606,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,GREENWICH,06830,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,RIDGEFIELD,06877,CT,41.269688,-73.492611
INDIVIDUAL,CURRENT,WATERBURY,06708,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WEST HARTFORD,061171508,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NORTH HAVEN,06473,CT,41.381465,-72.856371
INDIVIDUAL,CURRENT,NEW HAVEN,065113765,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WETHERSFIELD,06109,CT,41.702484,-72.669301
INDIVIDUAL,CURRENT,WESTON,068831715,CT,41.203236,-73.378781
INDIVIDUAL,CURRENT,GREENWICH,068306088,CT,41.027773,-73.626931
INDIVIDUAL,PRIOR DISCIPLINE,BRIDGEPORT,06606,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,GREENWICH,06831,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,SANDY HOOK,06482,CT,41.409,-73.24263
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,RIDGEFIELD,06877,CT,41.269688,-73.492611
INDIVIDUAL,CURRENT,STAMFORD,06902,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,RIVERSIDE,06878,CT,41.030093,-73.583719
INDIVIDUAL,CURRENT,WATERBURY,06708,CT,41.5585,-73.036685
INDIVIDUAL,CURRENT,NEW MILFORD,06776,CT,41.580295,-73.403934
INDIVIDUAL,CURRENT,NEW BRITAIN,06051,CT,41.676555,-72.786161
INDIVIDUAL,CURRENT,SOMERS,060711214,CT,41.991685,-72.445123
INDIVIDUAL,CURRENT,STAMFORD,069055325,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAMFORD,06902,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAMFORD,06902,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,RIDGEFIELD,068773842,CT,41.269688,-73.492611
INDIVIDUAL,CURRENT,SANDY HOOK,064821284,CT,41.409,-73.24263
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW PRESTON,067772001,CT,41.691307,-73.334403
INDIVIDUAL,CURRENT,STAMFORD,06903,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,RIDGEFIELD,06877,CT,41.269688,-73.492611
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,STAMFORD,069011007,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NORTH HAVEN,06473,CT,41.381465,-72.856371
INDIVIDUAL,CURRENT,WEST HARTFORD,061072181,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,WEST HAVEN,06516,CT,41.272121,-72.967497
INDIVIDUAL,CURRENT,HARTFORD,06105,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WEST HARTFORD,061072736,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,BRISTOL,06010,CT,41.681578,-72.940749
INDIVIDUAL,CURRENT,HARTFORD,06105,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,STAMFORD,06902,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NEW HAVEN,065152731,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,STAMFORD,069021638,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,STAMFORD,06901,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,MERIDEN,06451,CT,41.536777,-72.794543
INDIVIDUAL,CURRENT,NEW HAVEN,065208028,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,WEST HARTFORD,06117,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,NEW HAVEN,06519,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,RIVERSIDE,068781430,CT,41.030093,-73.583719
INDIVIDUAL,CURRENT,NEW HAVEN,06511,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,HARTFORD,06105,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,WEST SIMSBURY,06092,CT,41.87573,-72.845071
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,EAST HARTFORD,061083240,CT,41.760695,-72.607646
INDIVIDUAL,CURRENT,NEW HAVEN,065112202,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,NEW HAVEN,065191712,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,EAST HAVEN,06512,CT,41.293453,-72.858994
INDIVIDUAL,CURRENT,EAST HAVEN,06512,CT,41.293453,-72.858994
INDIVIDUAL,CURRENT,NEW HAVEN,065208051,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,DANBURY,068106099,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,HARTFORD,06102,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,GREENWICH,06831,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,MANCHESTER,06040,CT,41.77963,-72.520157
INDIVIDUAL,CURRENT,NEW BRITAIN,06051,CT,41.676555,-72.786161
INDIVIDUAL,CURRENT,BRIDGEPORT,06606,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,STAMFORD,069021123,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,MYSTIC,06355,CT,41.355976,-71.955882
INDIVIDUAL,CURRENT,WEST HARTFORD,06107,CT,41.766568,-72.754944
INDIVIDUAL,CURRENT,STAMFORD,06905,CT,41.079611,-73.54608
INDIVIDUAL,CURRENT,NEW HAVEN,065103220,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,GREENWICH,068304712,CT,41.027773,-73.626931
INDIVIDUAL,CURRENT,NORWICH,063602740,CT,41.548006,-72.089454
INDIVIDUAL,CURRENT,WEATOGUE,06089,CT,41.847241,-72.829769
INDIVIDUAL,CURRENT,HARTFORD,061065522,CT,41.765933,-72.681579
INDIVIDUAL,CURRENT,BRIDGEPORT,066102805,CT,41.187393,-73.195757
INDIVIDUAL,CURRENT,BETHEL,068012100,CT,41.360293,-73.413942
INDIVIDUAL,CURRENT,DANBURY,068106019,CT,41.398741,-73.478103
INDIVIDUAL,CURRENT,NEW HAVEN,065208017,CT,41.310809,-72.924953
INDIVIDUAL,CURRENT,HARTFORD,06106,CT,41.765933,-72.681579
INDIVIDUAL,PRIOR DISCIPLINE,HARTFORD,061032703,CT,41.765933,-72.681579
